time,u,v,r,x,y,ψ,δ,n_p
0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.6108652381980153,15.0
0.1001001001001001,1.1983003938801864,-0.004429067368914166,0.010903929491541819,0.12003459680523916,-0.00019487402797251625,0.0005534104800745363,0.6108652381980153,15.0
0.2002002002002002,1.1966496996061746,-0.009362068830416376,0.02095476750099119,0.23990249780074335,-0.0007289867511725447,0.002154527227609616,0.6108652381980151,14.999999999999996
0.3003003003003003,1.1950214971272937,-0.01473104204324129,0.0302721694934477,0.3596091337135958,-0.0015291062149005838,0.004724106969945676,0.6108652381980151,14.999999999999995
0.4004004004004004,1.1933888145097984,-0.020475858845934974,0.03895757783796925,0.47915824332020895,-0.0025248712776532664,0.008193951534490342,0.610865238198015,14.999999999999991
0.5005005005005005,1.191724764126684,-0.02654302522589212,0.0470965679561427,0.5985516565677647,-0.0036482597712247365,0.012505204824235887,0.6108652381980151,14.999999999999993
0.6006006006006006,1.1900029812649664,-0.03288463168017798,0.05476089924369734,0.7177891429849049,-0.004833162948330123,0.017606869284900382,0.6108652381980152,14.999999999999998
0.7007007007007007,1.1881979322245766,-0.039457431929112205,0.062010311759216334,0.8368683070372083,-0.006015051197817957,0.023454514980570173,0.6108652381980152,14.999999999999995
0.8008008008008008,1.1862851392623037,-0.04622203744468194,0.06889410313693421,0.9557845180790068,-0.007130717512388873,0.030009156828907632,0.6108652381980151,14.999999999999993
0.9009009009009009,1.1842413549234219,-0.053142221236575325,0.07545251346851381,1.07453086680668,-0.008118087702998381,0.03723628021205348,0.6108652381980151,14.999999999999993
1.001001001001001,1.1820447077656622,-0.06018432533552722,0.0817179449132917,1.1930981430575234,-0.00891608818410599,0.04510499661153076,0.6108652381980151,14.999999999999993
1.1011011011011012,1.1796748329702342,-0.06731676778785657,0.08771603803944847,1.3114748320291287,-0.009464563841013887,0.0535873149644546,0.6108652381980152,14.999999999999995
1.2012012012012012,1.1771129963071036,-0.07450964201459717,0.09346663081630403,1.4296471271660167,-0.009704239525757748,0.06265751250509562,0.6108652381980152,14.999999999999991
1.3013013013013013,1.1743422149961271,-0.08173440580597846,0.09898461629779931,1.5475989594177022,-0.009576721482301107,0.07229159662888415,0.6108652381980152,14.999999999999991
1.4014014014014013,1.1713473746204204,-0.08896365562527289,0.10428070890829824,1.665312042478063,-0.009024533816568212,0.0824668520838455,0.6108652381980151,14.999999999999988
1.5015015015015014,1.1681153413179783,-0.09617097266080316,0.10936214578955275,1.7827659339290083,-0.007991184183399313,0.09316145644155892,0.6108652381980153,14.999999999999995
1.6016016016016017,1.1646350666190775,-0.10333084125273928,0.11423333116805952,1.899938114650876,-0.006421260178825288,0.1043541626009829,0.6108652381980152,14.999999999999993
1.7017017017017018,1.1608976765433834,-0.11041862984911087,0.11889641112559562,2.016804083030817,-0.004260546501655094,0.11602405021977409,0.6108652381980153,14.999999999999995
1.8018018018018018,1.1568965457313247,-0.11741061887190515,0.12335182521760026,2.1333374677583175,-0.001456163501794157,0.1281503202814431,0.610865238198015,14.999999999999986
1.901901901901902,1.1526273463780603,-0.12428408170243459,0.12759879188364903,2.249510158198086,0.002043275986940664,0.1407121557741384,0.6108652381980153,14.999999999999995
2.002002002002002,1.1480880719950657,-0.13101738668608406,0.13163576144921674,2.365292446192535,0.0062875041569719365,0.15368861743000053,0.6108652381980153,14.999999999999995
2.1021021021021022,1.143279028378662,-0.13759013734063164,0.13546082902210538,2.4806531924892212,0.011324416924951777,0.167058591007927,0.6108652381980152,14.999999999999991
2.2022022022022023,1.1382027956359326,-0.14398330967869868,0.1390720836029015,2.595559992512267,0.017199904542065922,0.18080076780216878,0.6108652381980151,14.99999999999999
2.3023023023023024,1.1328641493123495,-0.1501794089709458,0.14246793761011992,2.7099793721157597,0.02395766576206516,0.1948936620936658,0.6108652381980151,14.99999999999999
2.4024024024024024,1.1272699588744606,-0.15616260468791282,0.14564737243600806,2.823876971370585,0.0316390472241373,0.20931565514649975,0.6108652381980151,14.99999999999999
2.5025025025025025,1.1214290390269215,-0.16191886451200246,0.1486101681696163,2.937217759072675,0.04028287371064306,0.2240450656046382,0.6108652381980151,14.99999999999999
2.6026026026026026,1.1153519927416131,-0.1674360549217351,0.15135704705676112,3.0499662252966546,0.049925311710005506,0.23906023466490725,0.6108652381980151,14.99999999999999
2.7027027027027026,1.1090510045793507,-0.17270402277944816,0.15388979476575831,3.162086602966997,0.060599733465921804,0.25433963063771914,0.6108652381980151,14.99999999999999
2.8028028028028027,1.1025396453634342,-0.17771463997555734,0.15621131000777944,3.2735430575336455,0.07233661800178603,0.2698619526822616,0.6108652381980151,14.99999999999999
2.9029029029029028,1.095832628374183,-0.18246181632551697,0.15832561985439603,3.3842999035057555,0.0851634620588884,0.28560625121453637,0.610865238198015,14.99999999999999
3.003003003003003,1.0889455973506816,-0.18694147977564923,0.16023785349972472,3.494321779877574,0.09910472752974316,0.30155202945070697,0.6108652381980151,14.999999999999991
3.103103103103103,1.0818948716443835,-0.1911515192572412,0.16195416665919668,3.6035738498221592,0.11418180615635917,0.31767936334103813,0.6108652381980151,14.99999999999999
3.2032032032032034,1.0746972386218885,-0.19509170369689072,0.16348166343931997,3.712021952662169,0.13041301753030138,0.3339689848035744,0.6108652381980152,14.999999999999993
3.3033033033033035,1.067369713575103,-0.19876356700366804,0.16482825606754348,3.819632776866135,0.1478136270228904,0.35040238821186315,0.6108652381980151,14.999999999999991
