u,v,r,x_bow,y_bow,x_stern,y_stern,psi,X_F_Body,Y_F_Body,N_F_Body
1.2,0.0,0.0,1.5232,0.0,-1.5232,0.0,0.0,0.0,0.0,0.0
1.1970253228344945,-0.012176545037821297,0.02633087014552575,1.8228171494749228,0.004034882005777547,-1.2235652732864712,-0.006306211729254988,0.0033945357537560465,0.29260765191269567,-0.007358903957360668,0.0038306623885551233
1.189375736503364,-0.02603479390781247,0.04838947303645221,2.121031532083295,0.0159067337680816,-0.92511845800076,-0.023116107474970553,0.012809844531939925,-0.017296312035266277,-0.009725324000679398,0.003613037692114486
1.183211134026804,-0.04096103944537885,0.06724276440973938,2.417279680502229,0.03548223323211994,-0.6279833347299045,-0.047735911060217476,0.02732028224959759,-0.06075744781604428,-0.00041163744042028603,-0.005064444817646698
1.1761070446337734,-0.056490928603794274,0.08376295830122812,2.711398809625188,0.06286041065007335,-0.33174449799288974,-0.07795960526488309,0.04624154291919854,-0.13484201219093522,0.01704826274869711,-0.0009778253078076258
1.1681698900592985,-0.07217081208223179,0.0983393039786369,3.0028925904993926,0.09826969200760763,-0.03624879138324556,-0.11189723486630518,0.06904347673567701,-0.19474730990737535,0.04937855418009703,0.011156527445744914
1.159208567149398,-0.0876081786447323,0.11107388336105893,3.2912198261166172,0.14194049553984342,0.25863077922538863,-0.147805378909657,0.09525492471960409,-0.24690973888429618,0.09776239496395828,0.012406458010795063
1.1491425492895397,-0.10255195281680615,0.12242780415630948,3.5757755108994234,0.19410812057309118,0.5529469608184506,-0.18411798062689672,0.12447634865795724,-0.2908730852816751,0.14523050652302055,0.04333758885359743
1.1379231300194503,-0.11668852935600786,0.13234236454177614,3.8559108103125954,0.2549821828462318,0.8466738126333718,-0.21940000106177773,0.1563553071747195,-0.32927196997703123,0.20172168471890067,0.08528286412571397
1.125520354264056,-0.12968984156625818,0.14055204554965048,4.130962620258804,0.32461715608245273,1.1396726292645005,-0.2522086626178614,0.1904968868423273,-0.37087804683390546,0.28663988719677835,0.0948499410362546
1.112110802705576,-0.14157004860665046,0.14758391142065255,4.400284633623875,0.4029900773344532,1.431725886174661,-0.2812619095770698,0.22654296801627447,-0.40424951727257624,0.35934711897499966,0.12936469230394154
1.0978650340964027,-0.15240777576056078,0.15378688566372758,4.66325496789512,0.4900907254361533,1.7225968550453015,-0.3055661690767849,0.26424399586013186,-0.4210669502557756,0.3871038407285893,0.2229277487738825
1.0828234080368304,-0.16196635103443596,0.1587600944894602,4.919286812691511,0.5857927520607473,2.011974522100051,-0.3241925256048837,0.3033392354767098,-0.43354680174306404,0.4164193904449536,0.3107331254277083
1.0669887095283288,-0.1699057322858386,0.16209462708472158,5.167855554748072,0.6897556732142499,2.2993891134984814,-0.3361269329348765,0.3434661090724617,-0.4646709519291584,0.5169684767876402,0.321050537319401
1.050663341516177,-0.17641037890545833,0.16423341305698547,5.408525430033891,0.8015439244187722,2.5842977242285188,-0.34050259837360003,0.38427207320948914,-0.5011414709528909,0.6500263608993206,0.2889446276319585
1.0342826989666634,-0.1820538314997513,0.16638656713020752,5.640916434850355,0.9208696691866024,2.8663073573405677,-0.33693551988899617,0.4256172257713457,-0.5065350903304622,0.709006416557825,0.35548629574562185
1.0178950143545704,-0.18699108265286424,0.16821569613559328,5.864691451386319,1.0474787193673318,3.145125723395482,-0.3252883526653917,0.4674598061878057,-0.489256754923249,0.6905487764546435,0.4664151856327939
1.0014267796403504,-0.19095424590201876,0.16942118772514275,6.079570264386119,1.1809779847975328,3.42036778247569,-0.30534848399274395,0.5096786788188185,-0.47411373901003867,0.6806784195020701,0.5683676079154991
0.9848100794950554,-0.19362490119805761,0.16939700300035135,6.285350063057561,1.3208225731340097,3.6914726415290553,-0.27677585024400275,0.5520369536327574,-0.4883744911743228,0.7683661643412143,0.5630962637054885
0.9683450438383389,-0.19528370245840465,0.16865239055402406,6.481927839738227,1.4664234903201303,3.9578564556020464,-0.23932632332118878,0.5942942863075615,-0.5120553355338384,0.907390125642525,0.49651291880579007
0.9523840370053358,-0.19654191402450186,0.16839927783145867,6.6691953034705955,1.6173994291198177,4.219218505618876,-0.19316097420693729,0.6364311874963992,-0.5091145953474432,0.9836782049614543,0.5194902069587846
0.9368864155224681,-0.19752678978626328,0.16815683324085437,6.847057150286661,1.7734260037586094,4.47540638975977,-0.13858468690418066,0.6785064533946189,-0.4888187371919788,0.9952152476422207,0.569724978300753
0.9217676557414943,-0.19810246640284684,0.16777437593601935,7.015478134304707,1.934085060532546,4.726192379577638,-0.07581058918920051,0.7205026573432372,-0.4669913064373789,0.9946444088103099,0.622090090686693
0.9069874333491948,-0.1981185933849318,0.16704006069168437,7.17445427696273,2.098925636669916,4.971270953224498,-0.004997286249909505,0.762356533713865,-0.4545358729736736,1.0310983119601405,0.6416123516903172
0.8925519124716986,-0.19757717597900626,0.16584159280186075,7.324040639876711,2.2674622104151823,5.210279949557473,0.073715450695147,0.8039650483564114,-0.4571575606511849,1.1158796563997662,0.6046423454667165
0.8786578157034504,-0.19678690795018436,0.16473440305318646,7.4643067172034225,2.4392711495070873,5.44297214304835,0.16007949034827712,0.8452858998372617,-0.45319960113145824,1.1908443604906969,0.5785037566239115
0.8653724412169828,-0.19597854083334862,0.16394557958639455,7.595295947058021,2.6140223355373298,5.66928417461643,0.2537290890250306,0.8863720367809819,-0.4334416113067219,1.2166847736910493,0.5947664609205678
0.8526057646935518,-0.19511347348167002,0.16317206370158704,7.717076610958665,2.7913761095993235,5.889162216106472,0.3543223962221113,0.927262749590419,-0.4083841146447901,1.2145355951496368,0.6153213133901824
0.8403053594105793,-0.19413615606995793,0.16239487965998745,7.829746666988439,2.970966956448761,6.102498339549014,0.46156248646723064,0.9679593482741508,-0.3842513167370686,1.2064015157794574,0.6359645019429626
0.828436758334401,-0.1929677063970711,0.16151032373430554,7.9334133704943905,3.1524333465501773,6.30915348940467,0.5751729574668901,1.0084471276316536,-0.36530702458647646,1.216360661347217,0.6409782818522194
0.816958376050617,-0.19155550503531568,0.16037224161363192,8.028222060373958,3.3354019695781796,6.508939053292497,0.694897209998481,1.0486798471492649,-0.35770387502076284,1.2607657732074966,0.6076892134491201
0.8059525199262259,-0.19004705623645168,0.15922624432235505,8.11432989187842,3.519526759472428,6.701710975420299,0.8204547088643865,1.08862674244059,-0.350977074243799,1.310277969279691,0.5655028645955869
0.7954836606325723,-0.1886245487243534,0.158370942923885,8.1918529575679,3.704526147352779,6.887468594445261,0.9515174438113932,1.1283254447953492,-0.3344369220210041,1.3282309714229794,0.5552521892415809
0.7855066364760062,-0.1872878243990884,0.15759734248647675,8.260911743082193,3.8901341576009543,7.066247778962609,1.087769475341687,1.1678208953276568,-0.3111474674311408,1.320023588269831,0.5524839813623894
0.7759570987414433,-0.18600192615719732,0.15690247605648408,8.321647213728749,4.0760743729786455,7.238045660231299,1.228922877376336,1.2071331508757992,-0.28706522275336627,1.2980153626611886,0.5572580036718908
0.7667994266751927,-0.18474628605896246,0.1562123499668774,8.374204669636073,4.2620708011816095,7.402839490557494,1.374700373556484,1.2462720918442898,-0.2643998732849576,1.2698549615221157,0.5599161935192775
0.7580061682567005,-0.18347598127162784,0.155488878168139,8.418742406705457,4.447851366065039,7.560583445912118,1.5248365528870886,1.2852338490351298,-0.24490762913177064,1.2477120008772606,0.5546776636690688
0.7495496958957092,-0.1821260585764545,0.15466070881394597,8.455430304868749,4.633150344190958,7.71120402272549,1.6790728840156879,1.3240006157567588,-0.23110461279111946,1.247066176175604,0.5308721552109233
0.7414178304794031,-0.18070259982392978,0.1536975885576053,8.484457902182546,4.817710120286131,7.854611496279743,1.8371504779835777,1.3625422120800035,-0.2239800947023726,1.266909967535339,0.48276290634077856
0.7336593319108748,-0.17933597335663987,0.15284413273883574,8.505996593869087,5.001299319508603,7.990785679373098,1.9988010741345796,1.4008573841502787,-0.21556796160264374,1.2784088303791008,0.44207602427128784
0.7262992920748284,-0.17810532589741795,0.1521953925137347,8.520180620003952,5.1837158949312165,8.119798460225367,2.1637610783608556,1.4389861625386793,-0.19975613648085466,1.2649996129513748,0.423672408986684
0.7192909431571527,-0.1769825084425262,0.15161418199180168,8.52715300266959,5.3647628664845515,8.241716253449882,2.3317849314924253,1.4769615512532528,-0.18008920359964828,1.234980810815161,0.4116747004325017
0.7125933249135581,-0.17594905944717681,0.15110756955806878,8.527068135790909,5.544241094543052,8.356576145368916,2.502636516632157,1.5148013712357324,-0.15960887751506467,1.1939258047921348,0.40758321288436
0.7061739113652229,-0.17499187702756505,0.15062281474578096,8.520083676282308,5.721952399896766,8.464403219119374,2.6760826469347263,1.5525173019390528,-0.1402157413669505,1.1456141873717776,0.40484459250418336
0.700010037636454,-0.17408444815342947,0.15013429498240977,8.506367112728164,5.897702291751944,8.565206346417941,2.851892392483165,1.5901114155893694,-0.12289691348687938,1.0965208680574907,0.39987324440894007
0.6940825619846219,-0.1731908334199412,0.14959817739294154,8.486093600196266,6.071302544491324,8.658978288214223,3.029834462528424,1.6275769602705386,-0.10868768716639675,1.0547313909128655,0.38634252627503296
0.68838119760396,-0.1722591534995751,0.1489956832755991,8.459442632833921,6.242573283507099,8.745696457900662,3.2096747915661803,1.6648995345795692,-0.09809285992384771,1.0312091302487263,0.3608312136504886
0.6828908945640133,-0.17125808379906243,0.14825114735265266,8.426606745339166,6.411345016692097,8.825318874899963,3.391172638061759,1.7020524905212033,-0.0928834309029056,1.0319763155174946,0.3121477995529717
0.6776206794279906,-0.17027850600582475,0.14751686611693907,8.387774215521231,6.577459716399894,8.89783910256839,3.57408745850873,1.7390205524674063,-0.09099837506048448,1.035756069331898,0.2594135141236449
0.6726139482921597,-0.16942024706249317,0.14699658415674072,8.343087283586772,6.740768829306852,8.963344615341011,3.758204502397856,1.7758333189600912,-0.08440603047654714,1.0196841841807929,0.23093074978871236
0.6678680870225405,-0.1686785874716239,0.1465891461026102,8.292676026990064,6.9011322140218905,9.021944637550495,3.9433331941351546,1.812530864930281,-0.07129507731768477,0.98540426534941,0.21596267392375143
0.6633345377088555,-0.16803719707057965,0.14627677322581562,8.23668519797024,7.058410924431218,9.073721461012193,4.1292852412316545,1.8491390747763365,-0.05616030518229149,0.9373413348123779,0.21330342566137178
0.6589873725932436,-0.16748407787563763,0.14601683820143582,8.175266633253038,7.212464148340124,9.118742643015171,4.315869617639491,1.8856760798998748,-0.040446021281631814,0.8786165415497988,0.218012368897122
0.6548021811637897,-0.16699800152195723,0.1457756776277251,8.108582419983719,7.363154281710807,9.157059958016932,4.502891698326114,1.9221505366174074,-0.025661582503836648,0.8142793762676931,0.22575355007289982
0.6507597370441788,-0.16654982612096855,0.14551663438840573,8.03680353990132,7.510348227228672,9.188711036279692,4.690150177804818,1.9585622780456853,-0.012982310250112204,0.7508327393574541,0.23137326561352298
0.6468487383000635,-0.16610373496571976,0.14520208284290329,7.960109535824734,7.6539202438608225,9.213719545101165,4.87743488445529,1.99490183485644,-0.0030704992951393153,0.6959228469949744,0.22918101869962607
0.6430628711308487,-0.16561054536384234,0.14480097796212282,7.878685539074599,7.793753445712899,9.232096588526312,5.064524809218715,2.0311511907004154,0.003443001080141703,0.659697440422468,0.2139816809329885
0.6393981793150637,-0.1650047959812706,0.1442661315122654,7.792720930134002,7.929740910669498,9.243838286813071,5.251183541389207,2.0672824284405635,0.005496331069649724,0.6553119641900021,0.17810369789327668
0.6358602361690966,-0.1643068775812839,0.14357290441355708,7.702415941266901,8.061792882150561,9.248939217258407,5.437163684598553,2.1032588472960305,0.002869741794448363,0.6767515326175677,0.11665044578289425
0.6324984466451755,-0.16367909219621143,0.14304185866606467,7.60793679973603,8.189818470061953,9.247474556598332,5.622265117308532,2.139083375340861,0.002631710642244032,0.686479736009941,0.0715788803062057
0.6293250185784821,-0.16320437404371732,0.14279137183381627,7.509398058472916,8.313707977272973,9.239606562392565,5.806359802797359,2.174812262934308,0.009008208284943926,0.6655655596958904,0.061550277295556795
0.6262949971119168,-0.16283395223667332,0.14262082021784464,7.406930243811615,8.433356170060565,9.225473812949673,5.989318977737357,2.2104890948966314,0.01840826489856298,0.6259454129720795,0.06301267671550206
0.6233694199924386,-0.1625464762508159,0.14254137261213748,7.30068856928618,8.548664412536748,9.205179978528802,6.170990529691791,2.2461353416108545,0.027553568457001798,0.5731675313196275,0.07808815444879669
0.6205185255708898,-0.16231800263771407,0.14247504002568398,7.1908389054370705,8.659535258303993,9.178816553430003,6.351209578320387,2.2817634609063955,0.03434485742870497,0.5129373896925417,0.09692327193928135
0.617718049758433,-0.162111889523143,0.14238551601957294,7.077562849407529,8.765880581636123,9.146459435012986,6.529792249947279,2.317371912694038,0.036971219805678954,0.45360983890760576,0.11430931806123693
0.6149515460883285,-0.161879607822353,0.14220368443676723,6.96105403843593,8.867623414305193,9.10817157051961,6.7065331793564384,2.3529457370047684,0.034044298920692564,0.40579207679561297,0.12022083926931851
0.6122094990629742,-0.16154745498868717,0.14191416345792857,6.841511132038687,8.964696219359666,9.06400836532674,6.8812056776712485,2.3884597729337638,0.02439143257426691,0.3848685926100119,0.11108423343402928
0.6094746676071227,-0.16104291695815007,0.14137970860993163,6.7191458000126145,9.057050113259995,9.014009881196447,7.053545955255352,2.4238688880808694,0.0049068875429311,0.40547919219692646,0.06685268960078793
0.6067972210228837,-0.16048974447987036,0.14079012790640014,6.594164175739939,9.144649980012828,8.95824729972123,7.223310666680397,2.4591370236385806,-0.018574274430963336,0.43840634868576256,0.010504947929561612
0.6042630638826143,-0.16006496827482572,0.1405040327723367,6.466714357892483,9.22742727109945,8.896879274391987,7.390381824676899,2.49429792684,-0.03365558539924597,0.44292127198438297,-0.0094192000624859
0.6018771797685063,-0.1597633638276281,0.1403669019778361,6.33692553125082,9.30530489478866,8.830076936451736,7.554695122033977,2.5294070069720442,-0.038380473301617105,0.42095643198956756,-0.009637211021978535
0.599597227633258,-0.1595472583138198,0.14032433071301023,6.204949268137472,9.378228544947453,8.757978584125063,7.716156485524338,2.5644943230428745,-0.03768687788671028,0.3823390461434962,0.004122481695826698
0.5973976869020942,-0.1593870373136614,0.14032853672637235,6.0709493357189395,9.446146948539308,8.680706850987013,7.874647001233089,2.599577184836839,-0.03430520928731511,0.3344449980716032,0.026106555323783767
0.5952624043114225,-0.15926266146009102,0.14032930101311217,5.935100221600986,9.509020457460622,8.598374955654409,8.030028233445947,2.634660634171044,-0.029966946463294567,0.28226809281112714,0.049587962275092996
0.5931780040028926,-0.15913469401853494,0.14027646027504448,5.797585043985605,9.566823802920966,8.511089565179027,8.182140788899206,2.6697371544462105,-0.026409104838311128,0.23497427679498223,0.06726366891890258
0.5911387165684948,-0.15894853783080304,0.14011864233567126,5.658592002882927,9.619545547976857,8.418952765068301,8.330800285385262,2.7047865039900847,-0.024957360497737027,0.20461971705771434,0.07110108887625219
