time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.2,0.0,0.0,0.0,0.0,0.0,-0.4377098926735183,0.0,0.0,0.6108652381980153,15.0,2.235790813193307,-74.99609341458988,-199.84658970776084,149.9883963325906
0.25,1.1937937770777993,-0.012157474184990906,0.026292226298818937,0.2997198696405125,-0.0011355030797802874,0.0033964966992652505,-0.4388321606362054,0.018570457893493923,0.013152397159912824,0.6108652381980153,15.0,2.229633720124151,-75.00000074999733,-200.00000199986565,150.00000149999178
0.5,0.8637530769842091,-0.10242338816911406,0.5297740674703033,0.5617610875529707,-0.05770067681426947,0.08043330169092452,2.0800365599529984,0.064683267837283,-0.9565143848470569,-0.18008462146582158,0.6108652381980153,15.0,-75.00000074999762,-200.00000199987903,150.00000149999232
0.75,0.8537333539334062,-0.08963882538110227,0.5325043362605582,0.8590605497558954,-0.061748711849236665,0.09583506237500902,2.3752710937344372,0.0840039084644118,-0.6571499942226464,-0.20750133216288463,0.6108652381980153,15.0,-75.00000074716858,-200.00000181530828,150.00000149017745
1.0,0.8434188313340119,-0.0988417312641767,0.5321818182375109,1.15516675118791,-0.06476424598568101,0.11541977130048259,2.668232184811104,0.11065306665664398,-0.35789868243528444,-0.24018155862800608,0.6108652381980153,15.0,-74.99931227969877,-199.94273268206456,149.9976952468512
1.25,0.8325029473742791,-0.10443350821321956,0.5293610194338068,1.4499139922740114,-0.06571001444079914,0.1387289399040625,2.9584799456922126,0.1449247504666975,-0.058651961144189906,-0.276344779347539,0.6108652381980153,15.0,-74.99994664239125,-199.98926823711008,149.99981766782432
1.5,0.8208275848723515,-0.06035832733958946,0.5244853044342902,1.7430697963550437,-0.0635566463394115,0.1653574342828571,3.245492713060951,0.18716953768772887,0.24064687964913603,-0.31428283036684806,0.6108652381980153,15.0,-75.0000007499985,-178.6263747870422,150.00000149999488
1.75,0.8082627226653696,-0.09713904634500527,0.5178878085446317,2.0343388268403024,-0.057410381441549835,0.19495121272552618,3.5286850346490115,0.23766189988580613,0.5399926190315932,-0.3524826627689055,0.6108652381980153,15.0,-75.00000074999863,-131.72027300977967,150.00000149999536
2.0,0.798431610239211,-0.04575025322404635,0.5190749512359343,2.3226357926786023,-0.04053168624139598,0.22714109236337834,3.806711154310653,0.3024822507884253,0.8385604310465516,-0.38354562327121694,0.6108652381980153,15.0,-75.00000074999872,-80.55854700269039,150.00000149999582
2.25,0.7924676365817603,-0.029081500721709633,0.5320515078447253,2.606809796622908,-0.011101363423513987,0.2615866986930844,4.0781918310478815,0.38281886805924,1.135427762197934,-0.40502159490626743,0.6108652381980153,15.0,-75.0000007499988,-32.42348135821036,150.00000149999616
2.5,0.7870061716653157,-0.015817631567903005,0.5484019177737225,2.8867587454431582,0.02565203787007051,0.2979607095915036,4.342842218035241,0.47281997147464405,1.4306752728510763,-0.4215158957345027,0.6108652381980153,15.0,-75.00000074999886,9.414570005848285,150.00000149999647
2.75,0.7806853486217676,0.015172979874100415,0.5644172104685019,3.1622550804149316,0.06825230589696184,0.33592416853453844,4.6003174435725525,0.5703627316695421,1.724192717257312,-0.4338581198756186,0.6108652381980153,15.0,-75.00000074999892,49.320815372739105,150.0000014999967
3.0,0.7728049788365795,0.043589874392617106,0.5781777026207388,3.433077340537018,0.1162226532324549,0.37515998143894946,4.850337277441095,0.6743557119618724,2.0158174036329424,-0.44191040549696275,0.6108652381980153,15.0,-75.00000074999926,-137.16416269385667,150.0000014999964
3.25,0.7642423980982813,0.07611712183460603,0.5913121012486816,3.69856661771718,0.17099388010733313,0.415432189192926,5.092206242724453,0.7857351554497221,2.3049269927099068,-0.4437473952350559,0.6108652381980153,15.0,-75.0000007499993,-106.8792040881674,150.00000149999653
3.5,0.7106362331917265,-0.029800446097320257,0.488261960722009,3.9790542535762325,0.17460625585849127,0.4565067959187073,5.3462752662327215,0.8460561367510019,2.611833240919744,-0.49684362503401924,0.6108652381980153,15.0,-75.000000749999,178.56163183849102,150.00000149999718
3.75,0.6990149459909334,-0.013785218821015287,0.49817987179409895,4.235626116481114,0.24276799434761284,0.49813811558414167,5.573717218536851,0.9705388666688846,2.897535014425378,-0.4850028779736589,0.6108652381980153,15.0,-75.00000074999936,-61.665009849746504,150.00000149999673
4.0,0.7395608761183586,0.18107522177470975,0.6297216042948593,4.456655335003535,0.38244815868671933,0.5400859732221277,5.76304986525226,1.1656924190143723,3.1502608047548084,-0.4007961016409334,0.6108652381980153,15.0,-75.00000074999939,-41.56954768828018,150.00000149999678
4.25,0.6735304519678018,0.011443575085772942,0.5124612172987341,4.730544816092784,0.3980695853539817,0.5822478849461085,6.002765084925433,1.2356815644775982,3.4583245472601343,-0.43954239376963483,0.6108652381980153,15.0,-75.00000074999942,-21.491817102527403,150.0000014999968
4.5,0.6606900094927086,0.023374517192463123,0.5194957052976824,4.967921175104344,0.4862493820033598,0.624567458220407,6.203565573125564,1.3769351636563385,3.7322767770831247,-0.4044363996496189,0.6108652381980153,15.0,-75.00000074999906,200.0000019999847,150.00000149999718
4.75,0.6481786733422887,0.03576676024642815,0.5273101650476463,5.1980545860674585,0.5815620434841481,0.6669568842797042,6.394844655048369,1.523810296753247,4.001264517086548,-0.36068620978495075,0.6108652381980153,15.0,-75.00000074999946,141.58465664008727,150.00000149999718
5.0,0.6773760894261889,0.19017683252822382,0.6321806041617353,5.389692471763747,0.7296151677541993,0.7092954148957313,6.545528558153625,1.7216742292011138,4.23385638537387,-0.2624438936927146,0.6108652381980153,15.0,-75.00000074999949,162.92244309312326,150.00000149999724
