time,u,v,r,x,y,Ψ,x1,y1,x2,y2,δ,n_p,X_wind,Y_wind,N_wind
0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.2246467991473532e-16,0.3490658503988659,15.0,-0.4384293849321005,-1.0619292792479909e-17,-4.057988455999217e-18
0.25,1.1985150175391164,-0.007821544285362343,0.01758174798179434,0.299813364120491,-0.0007185959154121556,0.0022705921754067227,1.299810786327185,0.001551994308955128,-0.700184058086203,-0.0029891861397792993,0.3490658503988659,15.0,-0.4401603359259342,0.011997669853727997,0.008606716291831643
0.5,1.1970294531181291,-0.016778179469532264,0.03218464084715596,0.5992706633869099,-0.002246415550359277,0.008543682299448649,1.5992341663553007,0.006297162809155489,-0.40069283958148083,-0.010789993909873735,0.34906585039886595,14.999999999999996,-0.4430854596277788,0.03042251229055454,0.021702619022189198
0.75,1.1953792355743469,-0.02648072315772046,0.044632200524115005,0.8983724687201214,-0.0037225214512792556,0.018184013169839825,1.8982071441082131,0.01446048961920873,-0.10146220666797012,-0.021905532521766937,0.3490658503988659,14.999999999999996,-0.446882167208572,0.054243327849307396,0.03842358822459856
1.0,1.193433764227251,-0.036633529810393674,0.05548681809399206,1.1970854477921444,-0.004368631435112708,0.03072753212075766,2.196613394320784,0.026354065520734233,0.1975575012635048,-0.035091328390959714,0.3490658503988658,14.999999999999993,-0.45129211403861336,0.08273245135684208,0.058123612091658804
1.25,1.191089115593367,-0.047007392059314576,0.06512991175628186,1.4953423574978602,-0.003467378454437445,0.0458268076588995,2.4942924931017463,0.042343390770465034,0.4963922218939739,-0.04927814767933999,0.34906585039886584,14.999999999999996,-0.4561018323755784,0.11534925277292545,0.0802983198743818
1.5,1.188263710312756,-0.057420556187560326,0.07381644981072545,1.7930422672117023,-0.00034920149980798357,0.0632130159714507,2.791044989724825,0.06282172422076963,0.7950395446985795,-0.06352012722038536,0.3490658503988659,14.999999999999996,-0.4611291449995502,0.15166381615932012,0.10453299022093063
1.75,1.1848957353686382,-0.06772566069443718,0.0817133920439651,2.090051058830553,0.005614837335024333,0.08266939797936562,3.0866358898182567,0.08819010388143289,1.0934662278428497,-0.07696042921138403,0.34906585039886584,14.999999999999995,-0.4662140342110183,0.19130611667020322,0.1304673308960388
2.0,1.1809416673703415,-0.07780109874477197,0.08892735885208425,2.386202338660367,0.015016132790487687,0.10401290703431537,3.380797871318039,0.11884159410610819,1.3916068060026947,-0.08880932852513251,0.34906585039886595,14.999999999999996,-0.4712129054389428,0.23393249302038913,0.15777228960389533
2.25,1.1763753495861182,-0.08754560652080354,0.09552481908027603,2.6812988907134456,0.028408831066538954,0.12708177165670176,3.6732348638249057,0.15514882178541475,1.6893629176019855,-0.09833115965233662,0.34906585039886595,14.999999999999995,-0.4759953515503756,0.27920444448793896,0.18613567135586964
2.5,1.1711871953694128,-0.09687511580473947,0.10154684295078907,2.975114763962834,0.04630831845580652,0.15172740289642384,3.963626226957474,0.19745423314818897,1.986603300968194,-0.10483759623657593,0.34906585039886584,14.999999999999995,-0.4804426805951903,0.32677661699499294,0.21525429030428617
2.75,1.1653832267342703,-0.10572106205899168,0.10701981838472877,3.2673980216549787,0.06918869198609305,0.17780945705706974,4.251631525622702,0.2460626857427109,2.2831645176872546,-0.10768530177052478,0.34906585039886584,14.999999999999995,-0.4844475791637237,0.37629165645969714,0.24483084749959838
3.0,1.1589837824162081,-0.11402951039833402,0.11196305150134268,3.557874115461528,0.09747984505813648,0.20519317098014414,4.536895758446629,0.30123612733368166,2.578852472476426,-0.1062764372174087,0.3490658503988659,14.999999999999993,-0.487914402310605,0.4273801164690662,0.27457408394008637
3.25,1.1520218430280842,-0.1217606148336743,0.11639391082196494,3.846249786631741,0.13156467485080536,0.2337482805150866,4.819054820121719,0.3631901631213349,2.873444753141762,-0.100060813419724,0.34906585039886584,14.999999999999993,-0.4907596889435053,0.4796638627242761,0.3042009943305435
3.5,1.1445410132688614,-0.12888807265237395,0.12033103415150878,4.132217348218565,0.171776799618983,0.2633489727342349,5.097740952878114,0.43209231749148835,3.1666937435590157,-0.08853871825352239,0.34906585039886595,14.999999999999995,-0.4929126091548942,0.5327616003089337,0.3334400931199107
3.75,1.136593264773764,-0.13539837404237964,0.12379602863110732,4.415459171492562,0.21839905523993086,0.2938744430280342,5.372587951933848,0.5080617861028707,3.4583303910512755,-0.07126367562300906,0.34906585039886595,15.0,-0.4943151560962977,0.5862953568664887,0.3620349416005341
4.0,1.128236576859019,-0.14128976395234497,0.1268140455885897,4.69565218915727,0.2716629249310966,0.32520972903132206,5.643235926408418,0.5911704536329225,3.7480684519061227,-0.04784460377072913,0.34906585039886595,15.0,-0.49492199024291084,0.6398969850837629,0.3897473612811215
4.25,1.1195326178707228,-0.14657092312646816,0.12941357108201398,4.972472236918618,0.3317489501398191,0.35724658356324696,5.909335469379083,0.6814449376257041,4.035609004458153,-0.017947037346065953,0.3490658503988659,14.999999999999996,-0.49469992254365175,0.6932140025343703,0.4163599685762395
4.5,1.1105445931164548,-0.15125943466140895,0.13162572779736223,5.245598079653773,0.39878808124335485,0.3898842284866704,6.170551148300858,0.7788694156973627,4.320645011006687,0.018706746789347195,0.3490658503988659,14.999999999999993,-0.4936270802172685,0.7459143423561031,0.4416778528315496
4.75,1.1013353545299536,-0.15538013240010123,0.133483331075112,5.514715003713462,0.47286385894134153,0.4230298988440537,6.426564281784666,0.8833890032151417,4.602865725642259,0.062338714667541595,0.3490658503988659,14.999999999999995,-0.49169183348252815,0.7976898182583136,0.4655293701663454
