time,u,v,r
0.0,1.457071817316001,-0.009961981718914324,0.0014773795597083266
2.002002002002002,1.486223691685523,-0.013206798326104387,0.007329090522914532
4.004004004004004,1.5320951240630238,-0.05358077208471138,0.03345498648440602
6.006006006006006,1.5634992839264557,-0.1349983102011601,0.0640749757565117
8.008008008008009,1.5548110658858478,-0.23969602591759495,0.09670678425710144
10.01001001001001,1.4612768564674734,-0.3161560678548151,0.11818639245839979
12.012012012012011,1.359288751449226,-0.36822005670367197,0.12365819780712696
14.014014014014014,1.2717550512655988,-0.3540831946752262,0.11962554021388831
16.016016016016017,1.1589326369846102,-0.3622835866989419,0.11742483755186921
18.01801801801802,1.1209961784951803,-0.33743586781840634,0.10754113414399963
20.02002002002002,1.0816712436840048,-0.31074404727376426,0.09608389939330213
22.02202202202202,1.051796397040232,-0.28421636218028007,0.0855953840841842
24.024024024024023,1.0732706134984282,-0.25678129192470545,0.06141033957278875
26.026026026026027,1.119118315913835,-0.20588287649346004,0.036981574120156645
28.02802802802803,1.1865066388050542,-0.16780542865679865,0.013141500289263277
30.03003003003003,1.2446211975194938,-0.059735375151243164,-0.01753356658186255
32.032032032032035,1.3146864854927665,0.020900664885390254,-0.04595337563176779
34.034034034034036,1.347586140954844,0.1337284289972742,-0.08116649313536115
36.03603603603604,1.277050117531686,0.2265379284999838,-0.11204490820922247
38.03803803803804,1.2340078910160075,0.31256184714096813,-0.12794092082948236
40.04004004004004,1.139038438754464,0.3286553256516505,-0.1286048436137031
42.04204204204204,1.0591490684517144,0.3379835251381526,-0.11885848755791177
44.04404404404404,1.0311997024517168,0.3199517814552191,-0.11020022151386095
46.046046046046044,1.0119409777669766,0.31318020661064394,-0.0941733768106102
48.048048048048045,1.0079567692648825,0.26500762977958975,-0.078253062487377
50.050050050050054,0.9967624731206425,0.2369583707787929,-0.060499268872275656
52.052052052052055,1.0725277017051054,0.2059315269636483,-0.037756796202651176
54.054054054054056,1.0925464733231285,0.13124459525086343,-0.009786432994114677
56.05605605605606,1.1821729677433526,0.06360779983190051,0.020286902628560293
58.05805805805806,1.2461406316028163,-0.04100751768773957,0.053359334794322075
60.06006006006006,1.2918927996129317,-0.16111277385410513,0.08431695133024661
62.06206206206206,1.2036195972522004,-0.2278127332555805,0.10926262601976029
64.06406406406407,1.2129145005692368,-0.29650294297812557,0.12139031897065759
66.06606606606607,1.1237156484119502,-0.3263781120285325,0.11764428800318233
68.06806806806807,1.1010811370379672,-0.3144375021577578,0.10792232673180062
70.07007007007007,1.0105837488308191,-0.31718920746177476,0.09788524463310926
72.07207207207207,1.0255029404023548,-0.28652426034871986,0.07985230342044522
74.07407407407408,1.0722835358470513,-0.25232155498033365,0.06186077211353832
76.07607607607608,1.1549187733983224,-0.2139032271208029,0.04010718201725048
78.07807807807808,1.169146612099351,-0.14021870481240326,0.010840874545747753
80.08008008008008,1.2319147613682306,-0.0962140756679958,-0.011275433337619843
82.08208208208208,1.2867479831718511,0.009357721587125018,-0.04253254621492035
84.08408408408408,1.3349200901741116,0.12507787272151238,-0.08219901842538739
86.08608608608608,1.3001831963745545,0.225800091916959,-0.11294533413958695
88.08808808808809,1.2307012074624541,0.3207461239647459,-0.12519493787937547
90.09009009009009,1.1487873941780058,0.35156947308607345,-0.12411035267052674
92.09209209209209,1.0818637956382318,0.34549656467139883,-0.11793287619997977
94.09409409409409,1.0013353215433476,0.32693659531311126,-0.10991671841036624
96.09609609609609,0.9983923802115274,0.2974468872769816,-0.09865978531247051
98.09809809809809,0.9940680709944463,0.26573985664301303,-0.08323329322799543
