time,u,v,r,δ,n_p,x_true,y_true,ψ_true,U_W,ψ_W
0.0,1.2,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
0.1001001001001001,1.200687618390088,-3.493915551688443e-5,9.038051585644465e-5,0.007683840382264364,15.0,0.12015460114481921,-1.0661270977243444e-6,3.0372939166298517e-6,0.0,0.0
0.2002002002002002,1.2013668758764988,-0.00014340819450234604,0.000351612939539231,0.015366464966759254,15.0,0.24037762267331408,-8.006837606950897e-6,2.379292121723585e-5,0.0,0.0
0.3003003003003003,1.2020368157636956,-0.00033027780871270197,0.0007701739677094197,0.023046658148449622,15.0,0.360668180435563,-2.529928170825097e-5,7.867802308731507e-5,0.0,0.0
0.4004004004004004,1.2026964918799472,-0.0005996888612409641,0.0013341464073044294,0.030723204703978334,15.0,0.4810252974127774,-5.5968622065777595e-5,0.00018283224311169287,0.0,0.0
0.5005005005005005,1.2033449501502238,-0.0009551409650352865,0.0020330164929228426,0.03839488999488788,15.0,0.601447905977991,-0.00010165943388166231,0.00035027418639450977,0.0,0.0
0.6006006006006006,1.2039812121513953,-0.0013995698168286208,0.002857496816984569,0.04606050013665108,15.0,0.7219348488453036,-0.0001626989455661226,0.0005940326938274862,0.0,0.0
0.7007007007007007,1.2046042604299325,-0.0019354147486567326,0.0037993711910752014,0.05371882223493715,15.0,0.8424848787023953,-0.00023815328888434476,0.0009262615844827596,0.0,0.0
0.8008008008008008,1.205213025248675,-0.0025646780928010923,0.004851357508885508,0.061368644512550384,15.0,0.9630966564910705,-0.0003258780877945947,0.0013583407108150151,0.0,0.0
0.9009009009009009,1.205806372827598,-0.00328897554866708,0.006006990328825586,0.06900875655091435,15.0,1.0837687483269784,-0.00042256267431377043,0.0019009620406712857,0.0,0.0
1.001001001001001,1.2063830947496261,-0.004109581152150567,0.00726051471287755,0.07663794946900172,15.0,1.2044996211685075,-0.0005237707882147749,0.0025642069377119444,0.0,0.0
1.1011011011011012,1.2069418982173428,-0.00502746579318915,0.008606793501424207,0.08425501613209083,15.0,1.3252876368815665,-0.0006239771620703863,0.0033576129686639948,0.0,0.0
1.2012012012012012,1.2074813977475698,-0.006043329043380543,0.010041228916701039,0.09185875131608386,15.0,1.4461310453599914,-0.0007165991999501449,0.004290229694957215,0.0,0.0
1.3013013013013013,1.2080001070258333,-0.007157629212111724,0.01155968616925489,0.09944795187615808,15.0,1.5670279757124974,-0.0007940287227388844,0.005370672134276319,0.0,0.0
1.4014014014014013,1.2084964324109297,-0.008370604871003752,0.013158436052695345,0.10702141700513702,15.0,1.6879764268100392,-0.0008476568810453463,0.006607159929004716,0.0,0.0
1.5015015015015014,1.2089686662112686,-0.009682297563378808,0.014834091925636434,0.11457794835405472,15.0,1.8089742555433512,-0.0008679020649939428,0.008007559428105583,0.0,0.0
1.6016016016016017,1.2094149817194129,-0.011092565882957728,0.01658356669510415,0.12211635024854457,15.0,1.9300191650128822,-0.0008442302692776067,0.009579411006511588,0.0,0.0
1.7017017017017018,1.209833427806988,-0.012601101422730531,0.01840402134632621,0.1296354299552226,15.0,2.0511086894449475,-0.0007651799610220467,0.011329960809973127,0.0,0.0
1.8018018018018018,1.2102219252732052,-0.014207438015815251,0.020292830474475686,0.13713399770963333,15.0,2.1722401805862335,-0.0006183799429355562,0.013266180508484927,0.0,0.0
1.901901901901902,1.2105782629859874,-0.015910960711208056,0.02224754288726497,0.14461086704142997,15.0,2.293410788924983,-0.0003905710325454662,0.015394788147982947,0.0,0.0
2.002002002002002,1.2109000951452737,-0.01771091275763459,0.024265848760489202,0.1520648549428628,15.0,2.41461744806436,-6.762451672607281e-5,0.01772226494654251,0.0,0.0
2.1021021021021022,1.2111849394287293,-0.01960639778349473,0.02634555429954889,0.1594947819273599,15.0,2.535856853825276,0.00036544081313000904,0.020254864612712597,0.0,0.0
2.2022022022022023,1.2114301751539431,-0.021596384684448047,0.028484547180039232,0.16689947234691008,15.0,2.6571254438619207,0.0009244368664640663,0.022998628135753877,0.0,0.0
2.3023023023023024,1.2116330430844144,-0.02367970655615811,0.030680779799764246,0.17427775465114406,15.0,2.7784193780989934,0.0016259925482094424,0.025959386826995882,0.0,0.0
2.4024024024024024,1.2117906457082013,-0.025855060304549586,0.032932240772338826,0.18162846146659112,15.0,2.8997345114053803,0.0024875310700759818,0.029142768961363343,0.0,0.0
2.5025025025025025,1.2118999479440589,-0.028121006015572287,0.03523693434526056,0.188950429497834,15.0,3.0210663744117574,0.0035272526887559896,0.03255420408135508,0.0,0.0
2.6026026026026026,1.2119577796007106,-0.03047596228135903,0.037592865559677315,0.19624250026169546,15.0,3.1424101465609873,0.004764117736190409,0.03619892031774249,0.0,0.0
2.7027027027027026,1.2119608389437035,-0.03291820256419775,0.0399980148889187,0.20350351996022817,15.0,3.263760626145358,0.006217820146178523,0.040081945330839454,0.0,0.0
2.8028028028028027,1.2119056958070415,-0.035445851672931634,0.042450325381742794,0.21073233971495797,15.0,3.3851122107090634,0.007908771228876909,0.044208104297149095,0.0,0.0
2.9029029029029028,1.2117887974692458,-0.038056879129459986,0.04494768904142496,0.21792781586899426,15.0,3.506458865053774,0.009858078156706343,0.04858201279976285,0.0,0.0
3.003003003003003,1.2116064768546626,-0.04074909270193314,0.04748792599790356,0.22508880987445884,15.0,3.627794088118955,0.012087511635281671,0.053208071184277186,0.0,0.0
3.103103103103103,1.211354957816662,-0.043520134256746064,0.05006877556069531,0.2322141883361827,15.0,3.749110894295095,0.01461948845688292,0.05809045964683423,0.0,0.0
