sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.004076953396787402,0.002111909881503298,0.0004521864620872953,0.017118216055315078,0.06923486299347104,0.030631591326140156,0.0048037202664619055,-0.6716290542040517,-0.21386731843721696,0.04875676344186844,-1.38668010746248,-0.6946104930875114,-1.1738114043398267,-0.0786908259706189,-0.10818882932796492,-0.0456075996789456,-0.004720688725455557,-0.16940280192301804,0.1850152191254077,-0.00395787635669715
0.004066655324673599,0.002109590311790687,0.0004475631317999392,0.01710427652542039,0.06897561928666701,0.031485165264281606,0.004443543576967496,-0.6709838219307026,-0.21380268354983883,0.04875454172013585,-1.3798224199758984,-0.6896095973226373,-1.1729462870576195,-0.07865054416416563,-0.10820125802974791,-0.04559637316391762,-0.005366448078974184,-0.16924706884071272,0.1850607927430835,-0.0039386000663271525
0.004067612033973788,0.0021110429790813143,0.00044795776779346414,0.0171066140579724,0.06911986574483531,0.03232662732860894,0.004557900012016322,-0.6713184012347185,-0.2139067472528109,0.04872069794733794,-1.3764999775616662,-0.6861872280414403,-1.1736283942985257,-0.07864642468608292,-0.10816676436234621,-0.04561462868042835,-0.005459064632585553,-0.16915212919361644,0.18488022343015104,-0.003940129020089007
0.004076596852384936,0.0021017673526794317,0.0004548917147937971,0.017097369034041996,0.06923051919067441,0.032519068116452804,0.004674387043951567,-0.6706876063979915,-0.21386687089100548,0.04855839883269286,-1.3739811126819106,-0.6885762970493148,-1.173923646852931,-0.07859725345603702,-0.10806723218417924,-0.045638907322701296,-0.005869818550050199,-0.1692840257273277,0.18470473729497594,-0.003918566009399181
0.004076332285587054,0.0021019188553361634,0.0004548958807701689,0.017097341663312757,0.06924246848498716,0.032499532642501466,0.004651161741850193,-0.6707776804349525,-0.21387760144414214,0.04858140164780164,-1.3740780172540505,-0.6892833477848299,-1.1738697327651282,-0.07860252545461596,-0.1080661887771332,-0.04564135757212745,-0.005903526309921137,-0.16928021296579954,0.18473652472978208,-0.003919503776025145
0.004072648090473365,0.0020999904041256517,0.00044547791103504304,0.017096782500156314,0.06900439084741344,0.03196677594687383,0.005577756435857992,-0.6647515494416562,-0.2139877545237941,0.048108871195526176,-1.3725794346770392,-0.6915246574776512,-1.172068750433912,-0.0784050514760351,-0.10767266118970484,-0.045664127161670336,-0.004899697874209796,-0.16886919538320666,0.1836615072028911,-0.003885662192134688
0.004074240606918881,0.002104113685069236,0.0004458989100322613,0.017103435173742153,0.06894450617222825,0.031982729497956025,0.005436277828624034,-0.6641948109970588,-0.21397456829123335,0.048184559902154395,-1.3745680075797075,-0.6883992506257706,-1.1722607718977194,-0.07844546209840217,-0.1077195511941369,-0.045651947977262644,-0.00521556761504105,-0.16891334001842173,0.1834604803226626,-0.0038862613270334925
0.0040520940780296374,0.002117014185831726,0.00044907207752666945,0.017091978640726573,0.06859443873672427,0.03286471084023082,0.005740112906518685,-0.6642950702990135,-0.21431795308316604,0.04764596672443372,-1.3508771910342743,-0.6789664586285431,-1.1704274027456214,-0.07870157733197,-0.10742580867345769,-0.04576751834657982,-0.004785091203358904,-0.1696440633751628,0.18300007025114484,-0.0038496097651057673
0.003951787249031927,0.002111889341961727,0.0004420247428185688,0.017084121989329872,0.06921470784498834,0.03251121298636503,0.005728978470814147,-0.6662608545344486,-0.213958893020328,0.0477970737102342,-1.3351638850196084,-0.672515057181253,-1.1716299919201605,-0.07915755705060666,-0.10778473930498024,-0.04570762127672279,-0.004840333327688573,-0.16994492570651631,0.18274563778306824,-0.0037867983606060113
0.0040046078159401925,0.0021073878468520963,0.0004366129988672215,0.017043396004736623,0.06939630676115677,0.032646276419594306,0.0051558873812644485,-0.6665895796836286,-0.21437889533903642,0.0475561035250813,-1.3512412514541943,-0.6763299519504804,-1.1724371187679843,-0.07893848212399508,-0.10766535974558368,-0.04571014656036024,-0.0055956319618186146,-0.17017804066519626,0.18348870617248464,-0.0038692850380104074
