sigma_u,sigma_v,sigma_r,R_0,X_vv,X_vr,X_rr,X_vvvv,Y_v,Y_r,Y_vvv,Y_vvr,Y_vrr,Y_rrr,N_v,N_r,N_vvv,N_vvr,N_vrr,N_rrr
0.02238425956888736,0.008847428737619104,0.002138516017603114,0.017475773315585023,0.12800177682859054,0.004728610080386636,-0.023597042680299163,0.34971630725376635,-0.18754256833527444,0.0650949802643053,-4.883579019950533,-2.39747643595416,-1.0031170357125552,0.014073023087040892,-0.11043958459998408,-0.04693078796374914,-0.35640231009465223,-0.6236878618644499,0.03961761900174632,-0.010918382533633218
0.022957539713521456,0.00879223572194103,0.0021205363490188443,0.017620665907256944,0.07502208125821558,-0.020050770281342833,-0.024615488446760897,0.5647430822742441,-0.21761912745261502,0.054999050691830004,-4.451642650824311,-2.3784836217285887,-1.0378771432452814,0.020726088754782768,-0.11399414121749474,-0.04664912174928324,-0.27782157756224934,-0.6579019994635023,0.02128325956440713,-0.012739345059090447
0.014065234569290722,0.007754217712657418,0.0023783333544293954,0.018405316888711273,0.06819316423240107,0.0992412061927416,0.04209734947773591,-1.130456133205598,-0.24455729689543798,0.04054881777604591,-3.0473786321166116,-1.6877405239995626,-1.0558138400118793,0.005356358829381652,-0.10810450840593952,-0.04534519538629134,-0.4851178818516281,-0.5121252546073672,0.13794852420377596,-0.0009681873258429868
0.02361562301544113,0.008896473828695737,0.0020010543540413136,0.015851249100230714,0.04179110913216802,-0.002767580522259644,-0.02518000342612374,1.2195484230169296,-0.22644642860291114,0.0483813929067711,-2.2384916949808527,-1.4798837715630042,-1.2920304491693446,-0.0661321752618604,-0.11023427582069331,-0.04544644855786907,-0.1788861416793766,-0.7038101448475567,-0.10580101102319134,-0.049754694127200995
0.018380011606690817,0.0080238876743047,0.0025635219402720183,0.016570678366098164,-0.11364112285530137,-0.08143816447965041,-0.018294969712230366,-0.18917209221697773,-0.22432657514387533,0.04868280382476192,-0.3509663902784137,-0.16870596321971698,-0.9833360420910864,-0.03757014797634654,-0.10693300457263427,-0.04593683388647765,-0.38674510842280196,-0.7379948313591604,-0.0763010623174381,-0.03951269632658523
0.01927462094641365,0.0085184527630712,0.0023844056916611607,0.016357869018037517,-0.11640355423511009,-0.0604498192312731,-0.009218411034016605,-0.43449594345760534,-0.23032922855179588,0.0505790339676479,-0.7207241037527599,-0.14749029010386794,-0.8490691821592098,-0.01733661367121697,-0.11131550910971187,-0.04523064727211867,-0.448100473130259,-0.7885717584640758,-0.08172016059562517,-0.04445809534399679
0.01735805770969137,0.010491464499959262,0.0026049693295499277,0.01827538964121255,-0.047899259266588445,-0.06838577213956501,-0.022450949237172432,0.7083871861830837,-0.21012708200025998,0.06748068704718813,-4.224970069462078,-1.9617230887594799,-1.009938284449551,-0.03140773875700276,-0.11559035017555357,-0.046199299585402004,-0.17698076073100466,-0.727091348429681,-0.08544346958255117,-0.042515380890562886
0.018758304222781592,0.007290540722516614,0.0020031244559411436,0.01718024611263473,-0.07286902540911824,-0.02826771616990667,0.00018181890828163072,-0.22481771207643786,-0.2369868253426068,0.03626684296360738,-2.3913124982372755,-1.4031704884672715,-1.1277161858186266,0.0031498523253601085,-0.11033934201179171,-0.04684357447811521,-0.36055245740836295,-0.5395283591544344,0.09559463970637394,-0.0036258855129536194
0.01843745778461402,0.008328287946196573,0.002348758349254044,0.017260420548564383,-0.08367811558021446,-0.1452043599403979,-0.04379352754029025,-0.46238847806303485,-0.22898913745476884,0.04855664468565801,-0.4751076792218951,-0.547365832089854,-1.2931479455870267,-0.10356872501420002,-0.10831324080676151,-0.04699002396594329,-0.12468440625317251,-0.4035616888432929,0.1066855219439985,-0.002164145098751659
0.018897599325105804,0.008292266481665818,0.002095756331388963,0.015987501617638716,-0.18721224107095977,-0.11174581305983329,-0.026864237886856115,0.6678284930867333,-0.272425824744951,0.027748930339403066,0.43595174532397696,-0.27293930266776956,-1.1213423928416717,-0.025651894412019663,-0.11442838002255698,-0.04895204668628168,-0.06319371304819893,-0.2820617935625849,0.1426267221671214,-0.003290470757987357
0.01943617485678999,0.00847160019433995,0.0025179676508067725,0.019101869750343593,0.18846350257033878,0.09555453691135538,0.014184287054953726,-0.27158367480847256,-0.1983415960791895,0.06328166699482243,-1.6464102402613587,0.4391042114651498,-0.45108733174128113,-0.0004814724973212642,-0.11063807851350868,-0.04488828903113005,0.1451763607948512,-0.15853284972730597,0.13960613181058418,-0.01915521071055129
0.018402481784566382,0.009472463878505626,0.0018742271961164742,0.016630708289683323,0.11655858394385177,0.1367743408543601,0.028637537594127252,0.10921100270098028,-0.2609898424183596,0.04088705849715896,-1.0464682791999618,-1.2111857925173073,-1.2514958841871948,-0.02695495167416019,-0.11443981961274424,-0.04830611407684585,-0.4820929097756938,-0.632085773603313,0.08999926523824808,-0.0008329168053694269
0.017157921724494634,0.008571016352493759,0.00207775786859589,0.0179498921927015,-0.003671427756768847,0.038395714338176595,0.014236892223431302,0.08045300569728897,-0.251275786135021,0.03410870997152801,-2.8399872118430607,-2.130116886852726,-1.3850284724332897,-0.03295524925631006,-0.11446176782495404,-0.04813885729109592,0.07399299001086668,-0.4467063308008429,0.0011045366062993889,-0.02839209355045847
0.018485750961030736,0.008481014096338627,0.002297462620322019,0.018544660993967205,0.16871773078434288,0.17644955186851166,0.05561914826141648,-0.7699959427854249,-0.24486595858550558,0.0477163650894703,-0.8755919105317336,0.44353515299693846,-0.6804850814937282,-0.0768229488190956,-0.1240174401007953,-0.051290331890347166,-0.47747168308227833,-0.9584534702055185,-0.0670220827360834,-0.011556047766260173
0.019995856747615278,0.010737956137674125,0.0027397714714408896,0.017865612548972905,-0.07722860958818044,0.15043301102874027,0.057957986759770236,1.0525372155890858,-0.24995677355481727,0.03735239147666611,-1.281650901592271,0.20772510873827743,-0.7199522170918641,-0.014985369118454286,-0.12304219720314036,-0.05001671616361419,-0.31149257924642704,-0.9508408051575169,-0.1351569810144392,-0.034722238056611204
0.01888583590506767,0.008325001702173047,0.0020980193009756012,0.01775745454673745,-0.16933520637616073,-0.1109027122418075,-0.008320864065631053,-0.5352955121879542,-0.23846654437474973,0.03404973768915742,-0.7685843196805511,-0.6946226528252994,-1.0098994581407852,0.03073206894198441,-0.10741969892929903,-0.04489175365615297,-0.1450608731131217,-0.4034963237268251,0.0742685051017778,-0.022731243222355813
0.017550052478531013,0.007923682841099287,0.002058095190980353,0.018174880879846277,-0.023413579153433117,-0.08159690807478034,-0.02500798350687143,-0.16314671206932085,-0.22678315623560585,0.04665448891949148,-2.0729273755501634,-0.9948435659275259,-0.9954489014605866,-0.009340471088315913,-0.11164892797792537,-0.04617775178178649,-0.04732853077319277,-0.33418031447475216,0.13361865810853835,-0.00548405165397417
0.01750823560529428,0.008161769612118197,0.0019723649332706265,0.01821156012353672,-0.09149514616212016,-0.1339727771355583,-0.03560106712981195,-0.03843167198402919,-0.2383908625600572,0.04918698892758905,-1.606390855325663,-1.3457944170682306,-1.1061689270191684,0.004482271604626387,-0.11100982406828885,-0.04672278450251516,0.05266355242560161,-0.28340606509977573,0.12660631204268513,-0.005806386323276645
0.018440145615445065,0.009005851478928411,0.0024247767126610088,0.01798981634170057,-0.04210823662472299,-0.14628635872057216,-0.04068197888179412,-1.0063085581855378,-0.18598798782060905,0.07351238022788145,-3.5754533508819675,-0.6035827855218341,-0.5503463362538696,-0.017946505765335213,-0.1170209715949537,-0.04648226477639061,0.26897285569723317,-0.3068483762099111,0.07693697341664563,-0.01685161231330535
0.01866330142870968,0.007905424124194768,0.002106990677105329,0.01601616176083226,0.10910186569769692,0.10085291214626593,0.004869843805294177,1.063699410498737,-0.2682146949329406,0.03610595048841678,-0.34316585262965393,-1.2932322442688053,-1.4407461116382645,-0.0550732614754916,-0.10823407500929053,-0.045696223846729646,-0.44253540937824976,-0.5376287952468586,0.08475743807841951,-0.013071216476762085
0.017179222046170246,0.008310925194594882,0.002346206751184332,0.0181473016803937,-0.12970272689177065,-0.14854793691831533,-0.030632267310240678,-0.6113790379843761,-0.19609466512238555,0.060477298218760855,-3.563058528100198,-1.1633905346153213,-0.7897160627210075,-0.006325101126552782,-0.11477814599932862,-0.04780492316278905,0.10793904393880838,-0.4855909155858601,0.04071897997748447,-0.006675606541110102
0.017120331164869985,0.008250111686115282,0.0022578763631193864,0.018304300182577105,-0.1125962356499115,0.07037810586855223,0.04752835187465104,-0.19259881598028983,-0.24166457893443327,0.04245458951238229,0.006615702012914504,0.5985901763800099,-0.65800639954134,-0.0023738772273797504,-0.11429145703579333,-0.04869434904746631,0.07732087284910805,-0.3506964603610224,0.09481427867472819,-0.004518048510323142
0.01810950926897401,0.0069532023291529275,0.002302893251769479,0.01863273355446657,0.07095992197107581,0.01392355584737498,-0.0011714364619760664,-0.12196616491764578,-0.22747888614583667,0.05284839379804848,-1.0165577850357508,0.31168493543298714,-0.5386850927765683,0.01635608531081037,-0.11319114769907096,-0.04599497238593077,-0.2511445570578615,-0.4442261015300235,0.10844968330195859,-0.01021210199764127
0.023270964142229168,0.010499989290887619,0.002328781941803551,0.017104801152276906,-0.17803514493197303,-0.09009899880305478,-0.01603074992723462,0.6897869617300589,-0.26092823945435906,0.03577487261542872,-2.3744083685917166,-1.999995173034316,-1.4381882728387232,-0.05191239530156021,-0.11321111821375848,-0.04764399947553462,-0.2459529824753638,-0.602031424020885,-0.027967983546312636,-0.03836776432290546
0.021765456879391763,0.010157148529344706,0.002293236620632775,0.017483284359409764,-0.1915713252851627,-0.13076145847763465,-0.017165730444183513,-0.9988943928839569,-0.24660465682664762,0.038922951420774565,-2.257333080940997,-2.1624188538087643,-1.459312053644471,-0.020413667613496916,-0.11556877536607271,-0.047502477409048185,-0.26085410119949115,-0.8087723853374865,-0.10069335123098663,-0.0372138671983702
0.016493739726009354,0.008118837340655676,0.002267165465824466,0.01720267290671178,-0.11238297237245146,0.1483470692638241,0.0672791865582337,0.6376395097631513,-0.21775789390024985,0.04674459733648151,-1.1970748816978327,0.8747313154133494,-0.41828157109770814,-0.005482841820279041,-0.11004539104223812,-0.04699043816621506,-0.4697894174198197,-0.6283605639338332,0.04861682333111883,-0.013341123608688811
0.01975237591379664,0.008019638982483888,0.0023550792029302732,0.01675089671528362,-0.08124523638965331,-0.2082830351951765,-0.07243741431635445,0.011215131201246287,-0.22708614263925592,0.04704001129973104,0.547123481884201,0.6943651011869769,-0.6972587157553456,0.0012251146878383135,-0.11218980710256249,-0.04804117550609707,-0.3874182326283379,-0.8485074744468512,-0.04987067911731824,-0.013706851937780727
0.017318386641582206,0.00860333631544766,0.0021047908553960544,0.0175280739206083,-0.09874597205231989,-0.030042932097916364,0.004409899414954552,-0.42879183547713295,-0.213599364360803,0.06304882717871516,-2.4971966178343514,-1.0966998403275572,-0.9033520694793153,-0.018960664291622742,-0.11225981632684501,-0.04577540163689109,0.052186006291650155,-0.26033296452719046,0.13167774501019253,-0.01250247221316897
0.020032316895874414,0.008238096381225038,0.002192297880911296,0.017050901413280497,-0.10603499732858818,-0.041923959211971645,-0.0024772336991288058,-0.01843979515737182,-0.2502102567708565,0.04139537857960893,-0.437328452222296,-0.3942850430453455,-1.0506194411557612,-0.031909126654121614,-0.11661242060689961,-0.048189401999942,-0.19944696288559582,-0.776265525091653,-0.09267098769436136,-0.03446891829137064
0.021014489130069324,0.008264216930531473,0.0019155078172725197,0.017719894439425354,-0.15971838889304843,-0.025144651437254306,0.013392167634310198,0.3277790037645647,-0.27239309032467124,0.028974417012321618,-1.2993548831813113,-0.7755641740427832,-0.9716332572187274,0.0008245208822380556,-0.11676139065071679,-0.04840978213529872,-0.341564142030496,-0.7359649606420513,-0.022062171928716623,-0.02077318225173825
0.017358028089510993,0.009473047323675649,0.002517873185034897,0.017035884789322372,0.1588200817083743,0.09575620518115599,0.014900728678014577,-0.7148897518774094,-0.23820354080756312,0.04618306653126791,-0.7115939860563207,0.3352847024452523,-0.8597593022525989,-0.08787918714104198,-0.11739277508835468,-0.047809623427927134,-0.013551613616786418,-0.592415752051045,-0.08489112319242201,-0.05038095072292588
0.021741868367422288,0.008387646064209173,0.002526549452963639,0.015958661416640887,0.04606527570178681,0.11677887399654971,0.03299474830713321,-0.002727328805219198,-0.21542746400652402,0.054114796586684194,-2.9732571994598036,-0.024276833991695668,-0.35606644647007935,0.027754515470141045,-0.11615763448147567,-0.047628640116494196,0.11911280071676145,-0.40069597307559734,-0.001970515372710979,-0.03835768865947982
0.02191262493301569,0.00863927538012706,0.002538110619062653,0.015650156217954837,0.11010440733283844,0.11456792305653199,0.01284183154279725,0.6656180910342209,-0.20726639657747803,0.05705369361515844,-1.258860765910991,0.7973784605257417,-0.35157150320458497,0.011632090397813266,-0.11347213395935768,-0.04725109671777834,0.23477872336942096,-0.3367500133472635,-0.03954171744734564,-0.05465883767417344
0.017300464966416674,0.007738770907550033,0.0027818039973483183,0.0162758426529809,-0.011960486353863875,0.052805267706221876,0.01025215315075706,0.6721727846716798,-0.2100525997826656,0.05228161475842799,-0.09099000503467636,0.3721379603479198,-0.9706665917029964,-0.07470548769028823,-0.11008155817263537,-0.045880954842645184,-0.09867210821640826,-0.5751017094588087,-0.06197952152031955,-0.04597125084482739
0.022016368432612354,0.011151562369449282,0.001973989060576887,0.01767683662091059,0.0315901942205985,0.05204474146226115,0.0146675096279964,0.2590626155849456,-0.2392922619086173,0.04206573858978141,-0.7905949959543692,-0.7691682993038447,-1.1370480933545888,-0.018266156196709155,-0.10610394520104549,-0.044378763128111155,-0.12268367582602208,-0.28395814626307836,0.15834493447816828,-0.006436668154494528
0.018287672030828248,0.010741997696778699,0.0024177448853349476,0.01814090433580859,0.16514517257912015,0.13390906313529408,0.026517736349274623,-0.24745156334816865,-0.23128205805855145,0.04924105844869253,-1.0483091204685353,-1.335663602735325,-1.4243732311109436,-0.08269043881675625,-0.10836184786601159,-0.04584084142795856,-0.2605348824803025,-0.34902192048107294,0.16097038672176445,-0.0004297186546309492
0.018101804191325094,0.007605245308106286,0.0019583094855666404,0.01772094152251859,-0.16959207798124304,-0.2002168937865586,-0.045780206041233854,-0.7986293168216652,-0.20010465019941864,0.057862441545892235,-4.375441938418937,-2.130296168696522,-1.1012696585109512,-0.010277224780647076,-0.11308248519759405,-0.04669837772652618,-0.3279425208175646,-0.5452803076631256,0.11239497116593877,-9.802806796816582e-5
0.018756078018040672,0.009943409283723647,0.0028596003596936155,0.016274683285525407,-0.08572566548392582,-0.11887236934370024,-0.05220558567650933,1.2150799106593513,-0.227433373823764,0.04209925831283434,-0.861223586485937,-0.4800544260712809,-0.9837129027716232,-0.0003948005052000214,-0.10841483230587771,-0.04584525182531629,0.09719737564615305,-0.17261617151528674,0.16142837151237477,-0.00848118365857177
0.019296560355751696,0.010517684514738647,0.002451937107353468,0.016645709191163642,-0.19041224300186127,-0.20394409774360878,-0.06324754955123012,1.2278828016690375,-0.24979942249313947,0.04245511621692935,0.522687713615988,0.011163578086913706,-0.9592541568994843,0.0014325740392952396,-0.1074072044084555,-0.044873005274151834,0.1861414760778105,-0.2925911696235943,0.01887143907416733,-0.041830454629574666
0.02232774615809195,0.010017045131682785,0.002142207609926011,0.017221731369645308,-0.11081672275403755,-0.1503345992518011,-0.046923009655645935,0.6222602977838814,-0.25239713004970094,0.03224776220752404,0.9810361017213074,0.29227925441789493,-1.1711820932412051,-0.07300035953788417,-0.11007391921887381,-0.045998800011273905,0.0246448577596855,-0.4031204433758897,0.07395920025584096,-0.01302320837003388
0.018839690165593535,0.009248191346535652,0.002555055996547008,0.017488760428369513,-0.10587538265991137,-0.16182717925777998,-0.048244733256837105,-0.1876184442874811,-0.27426337010596397,0.03345398055620499,0.8961511855868478,-0.29680486535254635,-1.1890871948967505,-0.026388434704167504,-0.11236507845226035,-0.047936831486393064,0.033042374673534214,-0.2041358690327747,0.14930019184719795,-0.009542538293093906
0.017364573937702344,0.008547093576632811,0.0018376800877282335,0.01811002704841473,0.04170634236615531,0.09400887332601562,0.0353716452038917,-0.7505842409859149,-0.27144172270050604,0.032624772291659804,-0.030393879638163313,0.0467780609467181,-0.8766292273587846,0.0034308101239113042,-0.12458449421043276,-0.05003254176031243,0.3741715856492308,-0.2015358079730255,0.1276721415943533,-0.007141390974272868
0.017220036492111297,0.008586412796036287,0.0018609536840718584,0.018207307389895813,0.014449759727013761,0.062009514507125024,0.028798596325516707,-0.6654501536344529,-0.2770007971822698,0.03132498656536281,-0.25239052253711325,0.03206410654004088,-0.7912107344572801,0.012670845978998951,-0.12274631828902824,-0.050491840528534955,0.3764291173993365,-0.16744196973658587,0.128268570763579,-0.007173127720501618
0.017922688312262194,0.009482996389240448,0.0018546765621225514,0.01778939696618428,0.08481836632491879,0.10486523142700385,0.03066672646815495,-0.3225743462857873,-0.2613110650162074,0.03225053458571553,-0.37661359852963017,0.4247027473553131,-0.6151560220880308,0.028940108814726723,-0.11649725804524477,-0.049669767299357175,-0.0711487676283894,-0.24351828889112537,0.1285275655032428,-0.01665069960212822
0.015382880410291089,0.008766099591804159,0.0018599429742761988,0.016718095877946523,0.10892156987819679,0.11393112693934579,0.025737680064379972,-0.24199908830059869,-0.2624862219182378,0.031692215973564974,-1.3703430591584924,-0.4236821256836274,-0.7793045214826256,0.03677479823491073,-0.1206782327900858,-0.04959133684229351,-0.11068242911921694,-0.6345838240218835,0.007468849775417452,-0.011999961601111907
0.014656656096484113,0.008416447764216538,0.0019707273443277103,0.017262927657358474,-0.083216008638231,-0.022562019530838695,-0.006353195127488026,1.0649284609926908,-0.2697698738459033,0.03706943499529122,-0.5256470223052512,-0.027722559506158095,-0.8587624705615013,-0.034205970237340996,-0.11886706816955855,-0.048314346846898,-0.48034446707460426,-0.8868018298914822,-0.07704985565852573,-0.030849163773351545
0.013967957106274485,0.008106054103224873,0.0020578574793817463,0.017548880263871622,0.0496919428161644,-0.006472711874033171,-0.018500779373147272,0.8616317616733786,-0.2585471571775561,0.04530337642242788,-0.10570843752832548,-0.1639857858973044,-0.9488584543381083,-0.04225678172331089,-0.1188483769037671,-0.05034462528596992,-0.4942465555125179,-0.8455180906025088,-0.07109213612300486,-0.026940181007600497
0.019587670114430963,0.007727721004306303,0.0024926886517054794,0.01799819300083619,0.03238159853652944,0.1683317536330073,0.07053346303282113,-1.1932067226322145,-0.29172674598566584,0.022958645735085895,0.19648092376152704,-0.25434881552877986,-1.1229870050996382,-0.039579856009162806,-0.12169627211559228,-0.050520692850359095,-0.20947162199969466,-0.6248446007872597,0.03849979089494826,-0.005299685668905679
0.017617228932517985,0.009806560170828796,0.0019526523084311886,0.017342130154359158,-0.05038597989183827,-0.09712566219799587,-0.04094982704358413,1.037016978917506,-0.2437742529341252,0.04900201587160069,-3.286301569939896,-2.4077618730660313,-1.3473915978582471,-0.03800741908525074,-0.11522341444533628,-0.04724755337046208,-0.2157872521056854,-0.6983409503901608,-0.07020065436397246,-0.03877619712866011
0.016669403281813475,0.009699283212837972,0.001954703455260934,0.016882897657705603,-0.0014222511550557593,-0.05059184941505607,-0.03167188416058073,0.9477834516050812,-0.22647034705430902,0.04962458320369509,-3.5975650230440728,-2.366927879624691,-1.2079612210996582,0.012851210954661518,-0.11131019228810836,-0.04748204656192548,-0.08186478751901038,-0.5012531494577003,0.02891664465954541,-0.016573513280026708
0.0172794869724102,0.008596063022500919,0.00233354627256114,0.017008362931586626,-0.16307384232617356,-0.07711440042105827,-0.007699515380929889,0.1278931339287559,-0.23793718084373627,0.042600148816490185,-0.6891342906483446,-0.43019978188443764,-1.018921833593721,-0.03314935805621995,-0.10998697093084284,-0.04709196301333021,-0.10271291048455788,-0.3456524429718124,0.1272418029688226,-0.005455714271322708
0.01653541775691223,0.00829918590787745,0.0022003592932150116,0.01725271882035757,-0.16929659943449954,-0.022578973977911504,0.005122307925527814,0.8128442715103592,-0.2655153039141043,0.03674767445946858,-0.3293471327126678,-0.5694108370993018,-1.1293740628147155,-0.039620114380459356,-0.11452094640278558,-0.04729490506873503,-0.04473086525789205,-0.3424653841679559,0.09450478017482222,-0.017458955925587258
