time,u,v,r,x,y,psi,X_wind,Y_wind,N_wind,δ,nps,U_A,Ψ_A,C_X,C_Y,C_N,x_bow,y_bow,x_stern,y_stern
0.0,1.2,0.0,0.0,0.0,0.0,0.0,-0.4377098926735183,0.0,0.0,0.6108652381980153,15,2.235790813193307,0.0,-0.6508661267511108,0.0,0.0,1.5232,0.0,-1.5232,0.0
0.25041736227045075,1.1937937770777993,-0.012157474184990906,0.026292226298818937,0.2997198696405125,-0.0011355030797802874,0.0033964966992652505,-0.4388321606362054,0.018570457893493923,0.013152397159912824,0.6108652381980153,15,2.229633720124151,0.0070305972216923975,-0.6561438202221594,0.006882438627459946,0.0016000653592966436,1.822911083686786,0.0040380307453824395,-1.2234713444057608,-0.006309036904943015
0.5008347245409015,1.187658407198502,-0.025989874214910252,0.04829527942221412,0.5979303949098125,-0.003604848045575504,0.01281025429965776,-0.4417483342925764,0.04689401994915857,0.03292743814719555,0.6108652381980153,15,2.223710800818527,0.01765530599599823,-0.6640273263449503,0.017472201742744504,0.004027181356686025,2.1210054160671863,0.01590719763049192,-0.9251446262475616,-0.023116893721642925
0.7512520868113522,1.1812089984968837,-0.04089977390802155,0.06716215279822994,0.8946520447624048,-0.006128241891209457,0.027322663533469634,-0.44590203414354196,0.08355061659432607,0.05803291937017292,0.6108652381980153,15,2.21769302037199,0.031207227086616256,-0.6739136246344176,0.031299224902393924,0.00713627233473113,2.417283524450694,0.03548446124439196,-0.6279794349258842,-0.04774094502681088
1.001669449081803,1.1741414836265323,-0.056386721530693865,0.08363343086110306,1.189826744821006,-0.007548307555430333,0.04624029575643962,-0.45081880624440546,0.12745953896073534,0.08742099436956102,0.6108652381980153,15,2.211284629166498,0.04716878172577706,-0.685299433593147,0.048025271838574385,0.010812504566815227,2.7113986085268484,0.06285981398413042,-0.3317451188848364,-0.07795642909499108
1.2520868113522536,1.166218015600566,-0.07203633558391112,0.09812904343188113,1.4833219956514974,-0.006815654807631952,0.06904560188567935,-0.45609016521693807,0.17775343679357739,0.12021776538495961,0.6108652381980153,15,2.20421667331948,0.06514689786130637,-0.6977659675273603,0.0674056378594066,0.014964421786144337,3.0028926658573325,0.098271062955315,-0.03624867455433778,-0.1119023725705789
1.5025041736227045,1.1572786832856286,-0.0874679765965352,0.11095269028057989,1.7749258349581578,-0.002934468681412329,0.09525524154960233,-0.46133916126880226,0.23350230658930934,0.15554934834328088,0.6108652381980153,15,2.1962627572816014,0.0847832722678044,-0.7109177698065665,0.08918860340720432,0.019502911846665087,3.291220634467516,0.14193899673195,0.25863103544879995,-0.1478079340947747
1.7529215358931554,1.1472229732675194,-0.10236631151969848,0.12223927086912112,2.0643608378474294,0.004996798353070252,0.12447614033670282,-0.46623724135956307,0.29382073631098005,0.1926189625712152,0.6108652381980153,15,2.1872284992611477,0.10579428177397814,-0.7244130924049094,0.1131568667031087,0.024350651398579466,3.5757756005279,0.1941096090019971,0.5529460751669588,-0.18411601229585658
2.003338898163606,1.1360115043658072,-0.11647086106271652,0.1320467745997517,2.35129198091053,0.01779077085945345,0.15635505213290074,-0.47049679697561453,0.3577976874295789,0.2306622164612567,0.6108652381980153,15,2.1769600436332004,0.12794086612117597,-0.7379439858558321,0.13909880405991726,0.02943577000946751,3.8559111201205476,0.2549815926104337,0.8466728417005123,-0.2194000508915268
2.2537562604340566,1.123679828394187,-0.12955957530542742,0.14048364929063087,2.6353206628762016,0.0361972465859287,0.19050034100425525,-0.47386654310695037,0.4243809307596443,0.2688825246841116,0.6108652381980153,15,2.165365733512419,0.1509802316658606,-0.7512096695311865,0.16675548352157113,0.03468166297789235,4.130965393553045,0.3246154838709389,1.139675932199358,-0.2522209906990815
2.5041736227045073,1.1103178060367653,-0.1414746816865145,0.1476538035772427,2.916005477596651,0.06086378773965908,0.2265402271398816,-0.4761485555411927,0.49252014069089883,0.3065416769818507,0.6108652381980153,15,2.1524067817178234,0.1747025515677129,-0.7639437991581175,0.19586736200048982,0.040016645646015696,4.400286676457689,0.40298593362857993,1.4317242787356128,-0.2812583581492618
2.7545909849749584,1.0960165698085713,-0.1521357095184567,0.15350898289317447,3.1929246239807316,0.09226685725953324,0.26424442291233313,-0.4771989557386161,0.561394006363999,0.3430771918140716,0.6108652381980153,15,2.1380489979665125,0.19899733963006785,-0.7759465731926048,0.22626597266655835,0.04538960413978638,4.663254531749551,0.49009622058071045,1.7225947162119115,-0.3055625060616439
3.005008347245409,1.0809114390639938,-0.16150261914517225,0.15811086822975803,3.4656279137037997,0.13080365360232113,0.30333718534084286,-0.47691183925128383,0.6301233024723727,0.3779349132666215,0.6108652381980153,15,2.1223143023020223,0.2237426717782058,-0.7870210433704206,0.2577465860821879,0.050745492048368604,4.919286165246174,0.5857936839576762,2.0119696621614254,-0.32418637675303397
3.2554257095158596,1.0651887576389205,-0.16957259546435388,0.1616674057162197,3.733628729162297,0.1768043589113718,0.34347185470792074,-0.4752292985157545,0.6977622041257713,0.410574518597259,0.6108652381980153,15,2.105298361017859,0.24878660693655175,-0.7969728839972481,0.29004602585879463,0.05602276552714702,5.167860395121799,0.6897544231077142,2.299397063202795,-0.33614570528497056
3.5058430717863107,1.0490703647751816,-0.17638970548236807,0.16448220495088936,3.996416142517985,0.2305145862072131,0.38427103198830265,-0.472151087994875,0.763409232146071,0.4405343903265744,0.6108652381980153,15,2.0871641584109697,0.2739684007643416,-0.8056296114778819,0.32287243862854,0.06115985636252007,5.40853214741796,0.8015370277148438,2.58430013761801,-0.3405078553004176
3.7562604340567614,1.0326869271588461,-0.18204670002036571,0.16657046987555502,4.253610482958371,0.2919699993128681,0.4256146723022541,-0.4676935967746985,0.8266204903364887,0.46760559042365657,0.6108652381980153,15,2.067992179971678,0.29927689496085674,-0.8128890662011788,0.3561190161315995,0.06612744857420354,5.640918375763066,0.9208698725532736,2.8663025901536763,-0.3369298739275373
4.006677796327212,1.0161318175771528,-0.1866357628774878,0.16787358575145991,4.50490551379769,0.361101038158772,0.46745988556036033,-0.4618725899784792,0.8870756671414568,0.4916449471171953,0.6108652381980153,15,2.0478305471160354,0.3247391061503901,-0.8186566576578451,0.3897260315980568,0.07090280261362358,5.864690210719877,1.0474856373567996,3.1451208168755027,-0.32528356103925565
4.257095158597663,0.9995280081791253,-0.1902567114599044,0.16847612565558037,4.749965011330592,0.4378183347767278,0.5096761599518812,-0.45472879410532285,0.9443842061228788,0.5124956036586682,0.6108652381980153,15,2.026782395511969,0.35033312932425,-0.8228219164121422,0.423566155733573,0.07545286823663325,6.07957018039943,1.1809793768029004,3.420359842261754,-0.3053427072494448
4.507512520868113,0.9830285964357008,-0.19301752447235224,0.16860742383556057,4.988421577594993,0.5220133259181958,0.5520442656843372,-0.4463488595324096,0.9981047775084446,0.5300301726826042,0.6108652381980153,15,2.0050134978265883,0.3759836492761707,-0.8252916869769552,0.4574338675780263,0.0797380935341468,6.285356660546926,1.320823460185698,3.6914864946430606,-0.2767968083493064
4.757929883138564,0.966803073369166,-0.1950347793043437,0.16859432223773418,5.219896454311745,0.6135447474759392,0.5942917015601258,-0.4368891390709758,1.0478000011923911,0.5442246224947728,0.6108652381980153,15,1.982739255712749,0.40157856394238556,-0.8260525582482027,0.4910593301451246,0.08372339534567562,6.481936653058863,1.4664179952369034,3.957856255564627,-0.23932850028502506
5.0083472454090145,0.9508984300599764,-0.19641754898412467,0.1684024018169615,5.444205913571015,0.7121212859456165,0.6364300320356954,-0.42645494710184667,1.0933991018588343,0.5551927588378879,0.6108652381980153,15,1.9600225472664792,0.4271622788264946,-0.8251229458658975,0.5243766695760019,0.087402028971172,6.66919779423784,1.617401978493708,4.219214032904189,-0.193159406602475
