time,u,v,r,x,y,Ψ,x1,y1,x2,y2,δ,n_p,X_F,Y_F,N_F
0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.2246467991473532e-16,0.3490658503988659,15.0,-0.32103016310424437,-0.011103948009818811,-0.010734494939080106
0.25,1.19850952657185,-0.00782097508793448,0.017577617558281883,0.29981245526756367,-0.0007194708721416423,0.0022705611208626154,1.2998098775451628,0.0015510882977624795,-0.7001849670100356,-0.002990030042045686,0.3490658503988659,15.0,-0.3286014917376212,-0.0061868954740406665,-0.0022521673182357804
0.5,1.197015345207359,-0.01676420652601926,0.0321986649551303,0.5992669620140426,-0.0022454564364851907,0.008545801484313673,1.5992304468747667,0.006300241030531459,-0.4006965228466813,-0.010791153903501514,0.34906585039886595,14.999999999999996,-0.3279730319352084,0.007046018296325953,-0.0037983789365090056
0.75,1.1953733960037742,-0.026457339313521233,0.04464491331740143,0.8983658325428285,-0.0037153240973147816,0.01819051880273421,1.8982003896181825,0.014474191530149085,-0.1014687245325255,-0.021904839724778472,0.3490658503988659,14.999999999999996,-0.33941389696234536,0.028257840293454115,0.013010312957679206
1.0,1.193432319265005,-0.036610856814462155,0.05549814178700933,1.1970773214336863,-0.004352469046002981,0.03073831273499769,2.1966049366947002,0.02638100343327214,0.1975497061726725,-0.035085941525278136,0.3490658503988658,14.999999999999993,-0.35291345882207337,0.06178907025300941,0.038418582806732486
1.25,1.19108700734319,-0.046992764356523976,0.06514092506208197,1.4953330828077587,-0.003441852132547427,0.045841868688136514,2.4942825283410124,0.04238396230435741,0.496383637274505,-0.04926766656945221,0.34906585039886584,14.999999999999996,-0.365313910482578,0.10340982589010345,0.06829632999721491
1.5,1.1882609462269433,-0.05741958573028333,0.07382454869804346,1.7930316335930898,-0.00031565262520918735,0.06323211189674448,2.7910331496170007,0.06287433086928344,0.795030117569179,-0.06350563611970182,0.3490658503988659,14.999999999999996,-0.37949790379168974,0.15451066033281785,0.10339591817755474
1.75,1.1848917984201952,-0.06773832007970261,0.08171707311970924,2.0900388974646815,0.005654151157361456,0.08269174347433732,3.0866218830184633,0.0882516868644895,1.0934559119108993,-0.07694338454976642,0.34906585039886584,14.999999999999995,-0.3945840217536502,0.21089919520074427,0.14296668786425926
2.0,1.1809370413743325,-0.07782514921039117,0.08892691766967444,2.3861885631787296,0.015058925146916884,0.10403752939804868,3.3807815391067684,0.11890887572404867,1.3915955872506904,-0.08879102543021469,0.34906585039886595,14.999999999999996,-0.41114600879660085,0.2718429366531847,0.18524603573093765
2.25,1.176369901910501,-0.08757664269258496,0.09552118170840644,2.6812834916403463,0.028453342355326424,0.12710781500304014,3.67321616368207,0.15521916636332805,1.6893508195986224,-0.09831248165267527,0.34906585039886595,14.999999999999995,-0.4282568095854793,0.3339317358832001,0.22847291001954356
2.5,1.1711812897217337,-0.09690963478620003,0.10154040950731869,2.9750977423191483,0.04635351580961453,0.1517541301143698,3.963605165251022,0.1975258506093385,1.9865903193872745,-0.1048188189901092,0.34906585039886584,14.999999999999995,-0.4458317097168566,0.396520917817872,0.2717602410347617
2.75,1.1653770218452157,-0.10575649245125723,0.10701098306176927,3.2673794078757727,0.06923407656732196,0.17783619229538247,4.251608182723395,0.24613438397801235,2.2831506330281517,-0.10766623084336839,0.34906585039886584,14.999999999999995,-0.4624388211320935,0.45746749587975477,0.31337931479855774
3.0,1.158979090845446,-0.1140659303567093,0.11195085132031363,3.557854190423372,0.09752504839605554,0.20521912347589716,4.536870545095078,0.30130673865808544,2.578837835751665,-0.10625664186597411,0.3490658503988659,14.999999999999993,-0.48017297399199127,0.5186273425273354,0.3558206637220961
3.25,1.1520170435029402,-0.12179815275570376,0.11638186920522756,3.846228920687111,0.1316091105285232,0.23377298786350387,4.819028231028524,0.36325863416125664,2.8734296103456978,-0.10004041310421008,0.34906585039886584,14.999999999999993,-0.4954694584970619,0.5825584124110942,0.39446415649122113
3.5,1.144537297117045,-0.1289240545440509,0.12031899509424089,4.132195821760721,0.1718201361564403,0.26337235946479015,5.097713338227354,0.4321582343981421,3.1666783052940892,-0.08851796208526119,0.34906585039886595,14.999999999999995,-0.510564555241951,0.6440747142664837,0.4308169831953902
3.75,1.136589732475671,-0.13543249897889081,0.12378403085596601,4.4154372311343115,0.21844130806938084,0.2938964038871359,5.372559650102411,0.5081250582327693,3.4583148121662126,-0.07124244209400737,0.34906585039886595,15.0,-0.5238406685111436,0.7063497516664311,0.4650053813977195
4.0,1.1282328458009367,-0.14132025965843456,0.12680299992108526,4.695629851542359,0.2717043044283659,0.3252302797931391,5.64320702247099,0.5912313066306436,3.7480526806137284,-0.047822697773911634,0.34906585039886595,15.0,-0.5336492961428367,0.7597121505725053,0.4937931985584132
4.25,1.1195315669941708,-0.1466045345923043,0.1293997624237966,4.97245002921904,0.33178914096001993,0.35726533628561513,5.9093067037634945,0.681502697120693,4.035593354674584,-0.017924415200653028,0.3490658503988659,14.999999999999996,-0.5455922138502125,0.8270874910298579,0.5243644702702331
4.5,1.1105412869568623,-0.15128615533103565,0.1316145900080213,5.245576151105294,0.39882700001004334,0.3899011090206681,6.170522803678612,0.7789239481255518,4.320629498531976,0.018730051894535187,0.3490658503988659,14.999999999999993,-0.551589272547084,0.8789997246757252,0.5501165676835222
4.75,1.1013326072966847,-0.15540574007927616,0.1334747020683544,5.514693062345349,0.4729018796266153,0.4230454225985665,6.426535967415163,0.8834411791753144,4.602850157275534,0.062362580077916355,0.3490658503988659,14.999999999999995,-0.5568932915881656,0.931985433304822,0.5699348656077386
